feature,importance
demand_roll_mean_7,1617
week_of_year,1603
day_of_month,1456
opening_stock,1188
closing_stock,1139
demand_lag_7,1128
demand_roll_mean_30,1070
demand_lag_1,747
base_price,615
cost,574
year,554
month,509
demand_roll_mean_14,428
lead_time_days,424
day_of_week,334
max_temp_c,317
min_temp_c,266
month_sin,266
demand_roll_std_7,239
competitor_price_pressure,237
min_order_qty,230
avg_temp_c,229
wind_speed_kmh,211
month_cos,209
festival_multiplier,200
avg_humidity_pct,183
price,178
lead_time_actual,154
demand_lag_30,142
demand_lag_14,141
shelf_life_days,99
demand_roll_std_14,90
demand_roll_std_30,81
stockout_flag,71
festival_duration,57
decline_phase_days,31
income_index_base,29
waste_spoiled,25
competitor_promo_intensity,17
population_base,15
price_change_pct,12
quarter,11
storage_capacity_units,10
annual_growth_rate,6
channel_enc,1
income_growth_rate,1
cold_storage_available,1
promo_flag,0
launch_phase_days,0
is_weekend,0
days_since_promo,0
price_vs_base,0
precipitation_mm,0
weather_demand_factor,0
discount_depth,0
